Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,RHT_rht,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulÃ.e,thallee,Biomasse_seche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1,voisin
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,droite,Monoculture,Contrainte hydrique,RHT,1,1,1,265,48,224,3,3,0,71,26,NA,-2,0,265
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,droite,Couple,Contrainte hydrique,RHT,1,1,2,348,46,212,4,3,0,96,30,31,1,0,118
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,droite,Couple,Contrainte hydrique,RHT,1,1,3,412,45,185,4,3,0,75,44,62,55,2.5,412
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,droite,Couple,Contrainte hydrique,RHT,1,1,4,118,42,200,5,3,0,77,31.5,31,0.5,0.5,265
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,droite,Monoculture,Contrainte hydrique,rht,1,1,5,329,55,190,4,3,0,77,16,40.5,0,0,329
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,droite,Couple,Contrainte hydrique,rht,1,1,6,395,50,219,4,3,0,68,27.25,73.5,49.5,2,329
EL4X_265.EL4X_348 wt b1,B1 - 1 - 7,droite,Couple,Contrainte hydrique,RHT,1,1,7,348,51,157,4,3,0,63,20,30.5,1,0.5,265
EL4X_395.EL4X_395 wt b1,B1 - 1 - 8,droite,Monoculture,Contrainte hydrique,rht,1,1,8,395,50,216,5,3,0,79,34.25,70,61.5,2,395
EL4X_165.EL4X_131 wt b1,B1 - 1 - 9,droite,Couple,Contrainte hydrique,RHT,1,1,9,131,45,211,5,3,0,79,37.5,57,80.5,2,165
EL4X_89.EL4X_348 wt b1,B1 - 2 - 1,droite,Couple,Contrainte hydrique,RHT,1,2,1,348,54,201,5,3,0,106,27.5,36,-6,0,89
EL4X_482.EL4X_265 wt b1,B1 - 2 - 2,droite,Couple,Contrainte hydrique,RHT,1,2,2,265,38,219,3,3,0,72,26.5,35,2.5,0,482
EL4X_114.EL4X_376 wt b1,B1 - 2 - 3,droite,Couple,Contrainte hydrique,rht,1,2,3,376,51,151,5,2,0,51,42,35,57.5,2.5,114
