Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,date_ligule_1,date_ligule_2,date_ligule_3
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,Monoculture,Contrainte hydrique,1,1,1,gauche,265,40,15/11/2021,21/11/2021,
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,Monoculture,Contrainte hydrique,1,1,1,droite,265,48,15/11/2021,21/11/2021,
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,Couple,Contrainte hydrique,1,1,2,gauche,118,26,17/11/2021,23/11/2021,
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,Couple,Contrainte hydrique,1,1,2,droite,348,46,15/11/2021,21/11/2021,
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,Couple,Contrainte hydrique,1,1,3,gauche,412,47,15/11/2021,23/11/2021,
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,Couple,Contrainte hydrique,1,1,3,droite,412,45,17/11/2021,23/11/2021,
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,Couple,Contrainte hydrique,1,1,4,gauche,265,47,15/11/2021,23/11/2021,
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,Couple,Contrainte hydrique,1,1,4,droite,118,42,15/11/2021,23/11/2021,
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,Monoculture,Contrainte hydrique,1,1,5,gauche,329,45,15/11/2021,21/11/2021,
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,Monoculture,Contrainte hydrique,1,1,5,droite,329,55,15/11/2021,21/11/2021,
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,Couple,Contrainte hydrique,1,1,6,gauche,329,51,15/11/2021,21/11/2021,
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,Couple,Contrainte hydrique,1,1,6,droite,395,50,17/11/2021,21/11/2021,
EL4X_265.EL4X_348 wt b1,B1 - 1 - 7,Couple,Contrainte hydrique,1,1,7,gauche,265,45,15/11/2021,21/11/2021,
