Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulée,thallée,Surface_feuille_2,Biomasse_sèche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,gauche,Monoculture,Contrainte hydrique,1,1,1,265,40,209,4,3,0,,,"28,5","38,5",0,"0,5"
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,droite,Monoculture,Contrainte hydrique,1,1,1,265,48,224,3,3,0,,,26,NA,-2,0
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,gauche,Couple,Contrainte hydrique,1,1,2,118,26,207,4,2,0,,,"29,25",68,60,2
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,droite,Couple,Contrainte hydrique,1,1,2,348,46,212,4,3,0,,,30,31,1,0
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,gauche,Couple,Contrainte hydrique,1,1,3,412,47,206,5,2,0,,,27,"33,5",2,"0,5"
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,droite,Couple,Contrainte hydrique,1,1,3,412,45,185,4,3,0,,,44,62,55,"2,5"
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,gauche,Couple,Contrainte hydrique,1,1,4,265,47,209,3,2,0,,,21,27,"0,5",0
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,droite,Couple,Contrainte hydrique,1,1,4,118,42,200,5,3,0,,,"31,5",31,"0,5","0,5"
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,gauche,Monoculture,Contrainte hydrique,1,1,5,329,45,166,4,3,0,,,28,31,"2,5",0
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,droite,Monoculture,Contrainte hydrique,1,1,5,329,55,190,4,3,0,,,16,"40,5",0,0
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,gauche,Couple,Contrainte hydrique,1,1,6,329,51,201,4,3,0,,,"25,5",42,1,"0,5"
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,droite,Couple,Contrainte hydrique,1,1,6,395,50,219,4,3,0,,,"27,25","73,5","49,5",2
EL4X_265.EL4X_348 wt b1,B1 - 1 - 7,gauche,Couple,Contrainte hydrique,1,1,7,265,45,154,4,3,0,,,18,29,1,"0,5"
EL4X_265.EL4X_348 wt b1,B1 - 1 - 7,droite,Couple,Contrainte hydrique,1,1,7,348,51,157,4,3,0,,,20,"30,5",1,"0,5"
EL4X_395.EL4X_395 wt b1,B1 - 1 - 8,gauche,Monoculture,Contrainte hydrique,1,1,8,395,56,222,4,3,0,,,"30,25",72,55,2
EL4X_395.EL4X_395 wt b1,B1 - 1 - 8,droite,Monoculture,Contrainte hydrique,1,1,8,395,50,216,5,3,0,,,"34,25",70,"61,5",2
EL4X_165.EL4X_131 wt b1,B1 - 1 - 9,gauche,Couple,Contrainte hydrique,1,1,9,165,56,157,3,2,0,,,18,"33,5",41,"1,5"
EL4X_165.EL4X_131 wt b1,B1 - 1 - 9,droite,Couple,Contrainte hydrique,1,1,9,131,45,211,5,3,0,,,"37,5",57,"80,5",2
EL4X_89.EL4X_348 wt b1,B1 - 2 - 1,gauche,Couple,Contrainte hydrique,1,2,1,89,48,210,6,3,1,,,NA,"37,5",1,0
EL4X_89.EL4X_348 wt b1,B1 - 2 - 1,droite,Couple,Contrainte hydrique,1,2,1,348,54,201,5,3,0,,,"27,5",36,-6,0
EL4X_482.EL4X_265 wt b1,B1 - 2 - 2,gauche,Couple,Contrainte hydrique,1,2,2,482,51,232,5,3,0,,,"33,5",35,"-0,5",0
EL4X_482.EL4X_265 wt b1,B1 - 2 - 2,droite,Couple,Contrainte hydrique,1,2,2,265,38,219,3,3,0,,,"26,5",35,"2,5",0
EL4X_114.EL4X_376 wt b1,B1 - 2 - 3,gauche,Couple,Contrainte hydrique,1,2,3,114,44,258,5,3,0,,,"42,5","41,5",-1,0
EL4X_114.EL4X_376 wt b1,B1 - 2 - 3,droite,Couple,Contrainte hydrique,1,2,3,376,51,151,5,2,0,,,42,35,"57,5","2,5"
EL4X_89.EL4X_265 wt b1,B1 - 2 - 4,gauche,Couple,Contrainte hydrique,1,2,4,89,46,254,6,2,1,,,"32,25",65,61,"2,5"
EL4X_89.EL4X_265 wt b1,B1 - 2 - 4,droite,Couple,Contrainte hydrique,1,2,4,265,46,223,3,2,0,,,"33,75","78,5",72,2
EL4X_114.EL4X_114 wt b1,B1 - 2 - 5,gauche,Monoculture,Contrainte hydrique,1,2,5,114,47,181,4,3,0,,,"22,75",56,61,2
EL4X_114.EL4X_114 wt b1,B1 - 2 - 5,droite,Monoculture,Contrainte hydrique,1,2,5,114,47,219,4,2,0,,,"33,5","65,5",60,2
EL4X_89.EL4X_118 wt b1,B1 - 2 - 6,gauche,Couple,Contrainte hydrique,1,2,6,89,43,230,5,3,0,,,"34,25",75,"67,5",2
EL4X_89.EL4X_118 wt b1,B1 - 2 - 6,droite,Couple,Contrainte hydrique,1,2,6,118,29,151,2,3,0,,,"22,25","59,5",42,"1,5"
EL4X_482.EL4X_348 wt b1,B1 - 2 - 7,gauche,Couple,Contrainte hydrique,1,2,7,482,53,88,4,3,0,,,"13,5",27,1,"0,5"
EL4X_482.EL4X_348 wt b1,B1 - 2 - 7,droite,Couple,Contrainte hydrique,1,2,7,348,49,199,5,3,0,,,"26,5",35,"1,5","0,5"
EL4X_412.EL4X_131 wt b1,B1 - 2 - 8,gauche,Couple,Contrainte hydrique,1,2,8,412,55,185,4,3,0,,,23,"33,5","0,5",0
EL4X_412.EL4X_131 wt b1,B1 - 2 - 8,droite,Couple,Contrainte hydrique,1,2,8,131,49,184,5,2,0,,,"26,25","52,5","56,5",2
EL4X_130.EL4X_74 wt b1,B1 - 2 - 9,gauche,Couple,Contrainte hydrique,1,2,9,130,66,203,5,3,0,,,"35,5","32,5",-1,0
